,tweet_id,in_reply_to_status_id,in_reply_to_user_id,timestamp,source,text,retweeted_status_id,retweeted_status_user_id,retweeted_status_timestamp,expanded_urls,rating_numerator,name,dog_stage,favorite_count,retweet_count,breed_prediction,confidence
0,892420643555336193,,,2017-08-01 16:23:56,Twitter for iPhone,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. ,,,,https://twitter.com/dog_rates/status/892420643555336193/photo/1,13.0,Phineas,None,38986,8647,,
1,892177421306343426,,,2017-08-01 00:17:27,Twitter for iPhone,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. ",,,,https://twitter.com/dog_rates/status/892177421306343426/photo/1,13.0,Tilly,None,33369,6354,Chihuahua,0.323581
2,891815181378084864,,,2017-07-31 00:18:03,Twitter for iPhone,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. ,,,,https://twitter.com/dog_rates/status/891815181378084864/photo/1,12.0,Archie,None,25151,4214,Chihuahua,0.716012
3,891689557279858688,,,2017-07-30 15:58:51,Twitter for iPhone,This is Darla. She commenced a snooze mid meal. ,,,,https://twitter.com/dog_rates/status/891689557279858688/photo/1,13.0,Darla,None,42318,8763,Labrador_retriever,0.168086
4,891327558926688256,,,2017-07-29 16:00:24,Twitter for iPhone,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. ",,,,"https://twitter.com/dog_rates/status/891327558926688256/photo/1,https://twitter.com/dog_rates/status/891327558926688256/photo/1",12.0,Franklin,None,40491,9526,basset,0.555712
5,891087950875897856,,,2017-07-29 00:08:17,Twitter for iPhone,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. ,,,,https://twitter.com/dog_rates/status/891087950875897856/photo/1,13.0,,None,20309,3159,Chesapeake_Bay_retriever,0.425595
6,890971913173991426,,,2017-07-28 16:27:12,Twitter for iPhone,Meet Jax. He enjoys ice cream so much he gets nervous around it. ,,,,"https://gofundme.com/ydvmve-surgery-for-jax,https://twitter.com/dog_rates/status/890971913173991426/photo/1",13.0,Jax,None,11908,2104,Appenzeller,0.34170300000000003
7,890729181411237888,,,2017-07-28 00:22:40,Twitter for iPhone,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. ,,,,"https://twitter.com/dog_rates/status/890729181411237888/photo/1,https://twitter.com/dog_rates/status/890729181411237888/photo/1",13.0,,None,65855,19167,Pomeranian,0.566142
8,890609185150312448,,,2017-07-27 16:25:51,Twitter for iPhone,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. ,,,,https://twitter.com/dog_rates/status/890609185150312448/photo/1,13.0,Zoey,None,27894,4322,Irish_terrier,0.487574
9,890240255349198849,,,2017-07-26 15:59:51,Twitter for iPhone,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. ,,,,https://twitter.com/dog_rates/status/890240255349198849/photo/1,14.0,Cassie,Doggo,32077,7526,Pembroke,0.511319
